Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;23;cuadra;84;60006;13270777856
graphComp;24;cuadra;249;62559;13144948736
graphComp;25;cuadra;1224;60543;13308526592
graphComp;26;cuadra;349831;60001;9240051712
graphComp;27;cuadra;1375;62289;13103005696
graphComp;28;cuadra;17034;60002;1518338048
graphComp;29;cuadra;3874;60001;11513364480
graphComp;30;cuadra;4;60001;11643387904
graphComp;31;cuadra;168;62486;13228834816
graphComp;32;cuadra;2023;60001;11337203712
graphComp;33;cuadra;1463;60004;7272923136
graphComp;34;cuadra;6549;60001;7587495936
graphComp;35;cuadra;172;60001;13648265216
graphComp;36;cuadra;1614;60001;5909774336
graphComp;37;cuadra;124;62214;13216251904
graphComp;38;cuadra;8977;60004;8044675072
graphComp;39;cuadra;183;60001;6413090816
graphComp;40;cuadra;1098020;60001;7289700352
graphComp;41;cuadra;14;60001;11836325888
graphComp;42;cuadra;1043;60001;13547601920
graphComp;43;cuadra;108;60143;13233029120
graphComp;44;cuadra;132;61338;13216251904
graphComp;45;cuadra;160777;60001;2743074816
graphComp;46;cuadra;1584;60003;7121928192
graphComp;47;cuadra;9680;60001;13472104448
graphComp;48;cuadra;495;60294;11744051200
graphComp;49;cuadra;31;60001;12666798080
graphComp;50;cuadra;64921;60001;13593739264
graphComp;51;cuadra;115;60001;13069451264
graphComp;52;cuadra;37;61072;13228834816
graphComp;53;cuadra;140;60690;13228834816
graphComp;54;cuadra;216;61179;13233029120
graphComp;55;cuadra;1702;60001;9382658048
graphComp;56;cuadra;2256;60001;3330611448
graphComp;57;cuadra;118;61488;13237223424
graphComp;58;cuadra;34;60292;13224640512
graphComp;59;cuadra;20;61069;13233029120
graphComp;60;cuadra;320;60003;13191086080
graphComp;61;cuadra;76;60001;12402556928
graphComp;62;cuadra;75;60001;13119782912
graphComp;63;cuadra;3692;60001;14805893120
graphComp;64;cuadra;118;60001;13035896832
graphComp;65;cuadra;413;60001;11551113216
graphComp;66;cuadra;116;61478;13224640512
graphComp;67;cuadra;32975;61611;12729712640
graphComp;68;cuadra;110;60001;13543407616
graphComp;69;cuadra;157;60826;13241417728
graphComp;70;cuadra;263;60001;12876513280
graphComp;71;cuadra;1340;61502;12842958848
graphComp;72;cuadra;195527;60001;3361238016
graphComp;73;cuadra;442;60013;11739856896
graphComp;74;cuadra;1599;60001;11748245504
graphComp;75;cuadra;38737;60001;2417776752
graphComp;76;cuadra;19;60943;12830375936
graphComp;77;cuadra;0;60001;9785311232
graphComp;78;cuadra;109;60001;12738101248
graphComp;79;cuadra;69;60001;12721324032
graphComp;80;cuadra;55;60001;13077839872
graphComp;81;cuadra;2;63065;13233029120
graphComp;82;cuadra;519;60011;11211374592
graphComp;83;cuadra;22635;60001;14059307008
graphComp;84;cuadra;65189;60456;11362369536
graphComp;85;cuadra;165;60001;12809404416
graphComp;86;cuadra;145;61862;13212057600
graphComp;87;cuadra;4;61807;13237223424
graphComp;88;cuadra;2875;60001;10833887232
graphComp;89;cuadra;93;61280;13254000640
graphComp;90;cuadra;72;62309;13224640512
graphComp;91;cuadra;128;60001;10833887232
graphComp;92;cuadra;303;60001;12809404416
graphComp;93;cuadra;2621;60028;5175771136
graphComp;94;cuadra;139;62033;13237223424
graphComp;95;cuadra;17;61767;10364125184
graphComp;96;cuadra;126;60382;13224640512
graphComp;97;cuadra;388;60001;12847153152
graphComp;98;cuadra;199;61927;13241417728
graphComp;99;cuadra;72;60904;13220446208
graphComp;0;penta;33;60050;12675186688
graphComp;1;penta;0;60001;13589544960
graphComp;2;penta;139348;60001;2211080032
graphComp;3;penta;10085;60784;8774483968
graphComp;4;penta;146;61357;12075401216
graphComp;5;penta;26;60001;13304332288
graphComp;6;penta;77;60001;11890851840
graphComp;7;penta;65;60001;13065256960
graphComp;8;penta;10094;60001;14998831104
graphComp;9;penta;50;60001;12457082880
graphComp;10;penta;2288;60027;5205131264
graphComp;11;penta;4574;60027;10401873920
graphComp;12;penta;3861316;60001;6337593344
graphComp;13;penta;784;60006;8812232704
graphComp;14;penta;116;60001;11479810048
graphComp;15;penta;1647;60005;6404702208
graphComp;16;penta;95;60001;16525557760
graphComp;17;penta;171;60417;13082034176
graphComp;18;penta;604;60001;11576279040
graphComp;19;penta;9931;61637;12213813248
graphComp;20;penta;113;60001;13476298752
graphComp;21;penta;4867;60008;5674893312
graphComp;22;penta;100;60152;12712935424
graphComp;23;penta;70;60732;13174308864
graphComp;24;penta;216;60031;9512681472
graphComp;25;penta;441;60002;12356419584
graphComp;26;penta;301744;60001;9592373248
graphComp;27;penta;105;61135;13233029120
graphComp;28;penta;98;60736;13216251904
graphComp;29;penta;804;60010;11068768256
graphComp;30;penta;48;60312;13216251904
graphComp;31;penta;82;61088;13220446208
graphComp;32;penta;2264;60001;11345592320
graphComp;33;penta;10004;60009;6782189568
graphComp;34;penta;5438;60005;5989466112
graphComp;35;penta;228;60001;14088667136
graphComp;36;penta;2433;60156;11802771456
graphComp;37;penta;304;60001;13392412672
graphComp;38;penta;2250;60001;4424990720
graphComp;39;penta;450;60001;6920601600
graphComp;40;penta;6429;60005;5117050880
graphComp;41;penta;105;61264;13224640512
graphComp;42;penta;7559;60001;3573547008
graphComp;43;penta;11541;60001;11068768256
graphComp;44;penta;1748;60158;12830375936
graphComp;45;penta;30925;60001;14076084224
graphComp;46;penta;1531;60001;7012876288
graphComp;47;penta;1816;60022;5742002176
graphComp;48;penta;65;61996;13329498112
graphComp;49;penta;145;60001;12675186688
graphComp;50;penta;64921;60001;16479420416
graphComp;51;penta;126;61277;13233029120
graphComp;52;penta;112;60001;13778288640
graphComp;53;penta;157;60001;11685330944
graphComp;54;penta;306;60001;12633243648
graphComp;55;penta;282;60001;13061062656
graphComp;56;penta;94;60001;13472104448
graphComp;57;penta;66;60739;13224640512
graphComp;58;penta;34;60110;13220446208
graphComp;59;penta;96;60001;13467910144
graphComp;60;penta;275;60797;13212057600
graphComp;61;penta;181;60525;13488881664
graphComp;62;penta;10639;60158;12683575296
graphComp;63;penta;1733;60018;10745806848
graphComp;64;penta;214;60001;13681819648
graphComp;65;penta;7313;60006;9953083392
graphComp;66;penta;182;60001;13342081024
graphComp;67;penta;1912;60003;5964300288
graphComp;68;penta;94;60784;10464788480
graphComp;69;penta;8014;60002;9248440320
graphComp;70;penta;266;60001;12964593664
graphComp;71;penta;1360;60001;13199474688
graphComp;72;penta;1187;61087;10162798592
graphComp;73;penta;589;60024;11832131584
graphComp;74;penta;1614;60001;12801015808
graphComp;75;penta;1443;60027;7704936448
graphComp;76;penta;24;61615;13245612032
graphComp;77;penta;0;60001;14105444352
graphComp;78;penta;83;61361;13258194944
graphComp;79;penta;104;60751;13245612032
graphComp;80;penta;77;60240;13241417728
graphComp;81;penta;95;60001;13279166464
graphComp;82;penta;721;60001;12914262016
graphComp;83;penta;22103;60001;14373879808
graphComp;84;penta;1681;60001;11047796736
graphComp;85;penta;27295;60001;2311061504
graphComp;86;penta;120;60001;13665042432
graphComp;87;penta;4;60001;14038335488
graphComp;88;penta;2014;60030;4697620480
graphComp;89;penta;189;60305;13233029120
graphComp;90;penta;151;60005;13606322176
graphComp;91;penta;29;60001;13010731008
graphComp;92;penta;1289;60001;12566134784
graphComp;93;penta;1856;60012;4718592000
graphComp;94;penta;115;60719;13237223424
graphComp;95;penta;156;60372;13237223424
graphComp;96;penta;2865;60001;14197719040
graphComp;97;penta;177;61647;13241417728
graphComp;98;penta;222;60591;13241417728
graphComp;99;penta;64878;60001;10393485312
